data,buy,sold
20161109,0.2956,0.3066
20161108,0.2932,0.3042
20161107,0.2933,0.3043
20161104,0.2964,0.3074
20161103,0.2982,0.3092
20161102,0.2962,0.3072
20161101,0.2924,0.3034
20161031,0.2924,0.3034
20161028,0.2921,0.3031
20161027,0.2939,0.3049
20161026,0.2946,0.3056
20161025,0.2942,0.3052
20161024,0.2964,0.3074
20161021,0.2962,0.3072
20161020,0.2956,0.3066
20161019,0.2961,0.3071
20161018,0.296,0.307
20161017,0.2966,0.3076
20161014,0.2958,0.3068
20161013,0.2972,0.3082
20161012,0.2971,0.3081
20161011,0.2957,0.3067
20161007,0.2946,0.3056
20161006,0.2944,0.3054
20161005,0.2966,0.3076
20161004,0.2977,0.3087
20161003,0.3006,0.3116
20160930,0.3025,0.3135
20160929,0.3005,0.3115
20160927,0.3033,0.3143
20160926,0.3039,0.3149
20160923,0.3019,0.3129
20160922,0.3036,0.3146
20160921,0.3004,0.3114
20160920,0.3001,0.3111
20160919,0.2996,0.3106
20160914,0.2992,0.3102
20160913,0.3029,0.3139
20160912,0.3015,0.3125
20160910,0.2995,0.3105
20160909,0.2999,0.3109
20160908,0.2996,0.3106
20160907,0.2993,0.3103
20160906,0.2957,0.3067
20160905,0.2962,0.3072
20160902,0.2976,0.3086
20160901,0.298,0.309
20160831,0.2989,0.3099
20160830,0.3014,0.3124
20160829,0.3025,0.3135
20160826,0.307,0.318
20160825,0.307,0.318
20160824,0.3082,0.3192
20160823,0.3083,0.3193
20160822,0.3071,0.3181
20160819,0.3073,0.3183
20160818,0.3056,0.3166
20160817,0.3036,0.3146
20160816,0.3036,0.3146
20160815,0.3017,0.3127
20160812,0.2993,0.3103
20160811,0.3009,0.3119
20160810,0.2992,0.3102
20160809,0.2989,0.3099
20160808,0.3001,0.3111
20160805,0.3036,0.3146
20160804,0.3043,0.3153
20160803,0.3058,0.3168
20160802,0.3034,0.3144
20160801,0.3005,0.3115
